lgth M102 M114 M127 M140 M152
438 6 0 0 0 0
463 5 3 0 0 0
488 16 4 1 0 0
513 9 14 6 1 0
538 9 17 6 5 0
563 6 10 20 7 4
588 6 14 23 20 9
613 6 6 11 20 8
638 7 10 13 23 14
663 5 7 13 15 21
688 0 7 11 8 23
713 1 7 2 8 16
738 1 5 4 4 9
763 0 1 1 1 1
788 0 0 0 1 0
813 1 0 0 0 2
838 0 0 0 1 0
863 0 0 0 0 3
